,Provincia,Partido,Localidad,Hasta 5 Mbps,6 a 20 Mbps,20 a 100 Mbps
714,CATAMARCA,Ambato,El Bolsón,1,0,0
715,CATAMARCA,Ambato,El Rodeo,106,0,0
716,CATAMARCA,Ambato,La Puerta,5,0,0
717,CATAMARCA,Ambato,Las Chacritas,1,0,0
718,CATAMARCA,Ambato,Los Talas,66,0,0
719,CATAMARCA,Ambato,Los Varela,1,0,0
720,CATAMARCA,Ancasti,Ancasti,1,0,0
721,CATAMARCA,Andalgalá,Aconquija,1,0,0
722,CATAMARCA,Andalgalá,Andalgalá,90,1106,0
723,CATAMARCA,Andalgalá,Chaquiago,1,23,0
724,CATAMARCA,Andalgalá,El Alamito,20,0,0
725,CATAMARCA,Andalgalá,El Potrero,0,13,0
726,CATAMARCA,Andalgalá,La Aguada,0,16,0
727,CATAMARCA,Andalgalá,La Mesada,0,9,0
728,CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,0,0,0
729,CATAMARCA,Belén,Belén,3,0,0
730,CATAMARCA,Belén,El Durazno,0,0,0
731,CATAMARCA,Belén,Hualfín,1,0,0
732,CATAMARCA,Belén,Las Juntas,5,0,0
733,CATAMARCA,Belén,Londres,1,0,0
734,CATAMARCA,Belén,Puerta de San José,0,0,0
735,CATAMARCA,Capayán,Capayán,1,0,0
736,CATAMARCA,Capayán,Chumbicha,6,576,48
737,CATAMARCA,Capayán,Colonia del Valle,1,0,0
738,CATAMARCA,Capayán,Colonia Nueva Coneta,1,9,9
739,CATAMARCA,Capayán,Coneta,1,10,0
740,CATAMARCA,Capayán,Huillapima,1,5,9
741,CATAMARCA,Capayán,Los Angeles,5,0,0
742,CATAMARCA,Capayán,Miraflores,2,7,10
743,CATAMARCA,Capayán,San Martín,7,0,0
744,CATAMARCA,Capital,El Pantanillo,2,11,4
745,CATAMARCA,Capital,San Fernando del Valle de Catamarca,1190,881,328
746,CATAMARCA,El Alto,El Alto,29,0,0
747,CATAMARCA,El Alto,Tapso,1,0,0
748,CATAMARCA,Fray Mamerto Esquiú,El Hueco,0,0,25
749,CATAMARCA,Fray Mamerto Esquiú,La Carrera,1,0,0
750,CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,5,0,0
751,CATAMARCA,Fray Mamerto Esquiú,La Tercena,5,0,0
752,CATAMARCA,Fray Mamerto Esquiú,San Antonio,0,0,4
753,CATAMARCA,Fray Mamerto Esquiú,San José,0,0,1
754,CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,1,0,0
755,CATAMARCA,La Paz,Icaño,1,0,0
756,CATAMARCA,La Paz,Quirós,27,0,0
757,CATAMARCA,La Paz,Recreo,8,181,271
758,CATAMARCA,La Paz,San Antonio,26,0,0
759,CATAMARCA,Paclín,La Merced,10,71,0
760,CATAMARCA,Paclín,La Viña,10,0,0
761,CATAMARCA,Paclín,Las Lajas,1,0,0
762,CATAMARCA,Paclín,San Antonio,8,0,0
763,CATAMARCA,Pomán,Colpes,16,0,0
764,CATAMARCA,Pomán,Mutquin,1,0,0
765,CATAMARCA,Pomán,Pomán,2,0,0
766,CATAMARCA,Pomán,San Miguel,0,0,7
767,CATAMARCA,Pomán,Saujil,1,0,169
768,CATAMARCA,Pomán,Siján,1,0,0
769,CATAMARCA,Santa María,La Loma,1,0,0
770,CATAMARCA,Santa María,San José,1,0,0
771,CATAMARCA,Santa María,Santa María,1,0,0
772,CATAMARCA,Santa Rosa,Alijilán,2,0,0
773,CATAMARCA,Santa Rosa,Bañado de Ovanta,1,0,0
774,CATAMARCA,Santa Rosa,Lavalle,1,0,0
775,CATAMARCA,Santa Rosa,Los Altos,7,0,0
776,CATAMARCA,Tinogasta,Fiambalá,1,8,7
777,CATAMARCA,Tinogasta,Tinogasta,20,1010,109
778,CATAMARCA,Valle Viejo,El Bañado,0,0,6
779,CATAMARCA,Valle Viejo,El Portezuelo,6,0,0
780,CATAMARCA,Valle Viejo,Polcos,0,0,209
781,CATAMARCA,Valle Viejo,Pozo Del Mistol,0,0,18
782,CATAMARCA,Valle Viejo,San Isidro,5,384,799
783,CATAMARCA,Valle Viejo,Santa Rosa,5,0,733
784,CATAMARCA,Valle Viejo,Sumalao,5,0,1
