Provincia,Partido,Localidad,Poblacion,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G,link,Latitud,Longitud
MENDOZA,General Alvear,Bowen,4939,--,SI,SI,--,SI,SI,SI,SI,SI,50014010.0,-35.0009124317209,-67.5161818289008
MENDOZA,General Alvear,Carmensa,941,--,--,--,--,--,SI,SI,--,SI,50014020.0,-35.1449057898791,-67.662955044003
MENDOZA,General Alvear,General Alvear,29909,SI,SI,SI,SI,--,SI,SI,SI,SI,50014030.0,-34.9804694766564,-67.7009950828176
MENDOZA,General Alvear,Los Compartos,439,--,--,--,--,--,--,--,SI,SI,50014040.0,-34.9792604557582,-67.6590893207424
MENDOZA,Godoy Cruz,Gobernador Benegas,0,--,--,--,SI,--,--,--,SI,SI,50021010.0,-32.9443750737376,-68.8651880637399
MENDOZA,Godoy Cruz,Godoy Cruz,191299,SI,SI,SI,SI,SI,SI,SI,SI,SI,50021010.0,-32.9215283150576,-68.8549231831208
MENDOZA,Godoy Cruz,LAS TORTUGAS,0,--,--,--,SI,--,--,--,SI,SI,50021010.0,-32.9453107154249,-68.8411734730396
MENDOZA,Godoy Cruz,Presidente Sarmiento,0,--,--,--,--,--,--,--,--,--,50021010.0,-32.9171352448748,-68.9190971058586
MENDOZA,Godoy Cruz,SAN FRANCISCO DEL MONTE,0,--,--,--,SI,--,--,--,SI,SI,50021010.0,-32.9301248190877,-68.8333388830804
MENDOZA,Godoy Cruz,Villa Hipodromo,0,--,--,--,SI,--,--,--,SI,SI,50021010.0,-32.9085519196216,-68.8709990197701
MENDOZA,Godoy Cruz,Villa Marini,0,--,--,--,--,--,--,--,SI,SI,50021010.0,-32.9368994348648,-68.8625261619583
MENDOZA,Malargüe,Malargüe,21619,--,SI,--,SI,SI,SI,SI,SI,SI,50077040.0,-35.4770107120892,-69.5886491865783
MENDOZA,Rivadavia,Andrade,216,--,--,--,--,--,SI,--,--,--,50084010.0,-33.1624680014146,-68.506066911759
MENDOZA,Rivadavia,Barrio Cooperativa Los Campamentos,267,--,--,--,--,--,SI,--,--,SI,50084020.0,-33.2692489302548,-68.4383631651486
MENDOZA,Rivadavia,Barrio Rivadavia,408,--,--,--,--,--,SI,--,--,--,50084030.0,-33.2304643070476,-68.4837256054182
MENDOZA,Rivadavia,Cuadro Ortega,0,--,--,--,--,--,--,--,SI,--,50084110.0,-33.282949271283,-68.4657441362603
MENDOZA,Rivadavia,El Mirador,783,--,--,--,SI,--,SI,--,--,--,50084040.0,-33.2906467543213,-68.3475556585345
MENDOZA,Rivadavia,La Central,802,--,--,--,--,--,SI,--,SI,SI,50084050.0,-33.2736424903477,-68.3224073182181
MENDOZA,Rivadavia,La Esperanza,200,--,--,--,--,--,SI,--,--,--,50084060.0,-33.3170659709211,-68.3343426790403
MENDOZA,Rivadavia,La Florida,1518,--,--,--,--,--,SI,--,--,--,50084070.0,-33.2827922646265,-68.4657172961175
MENDOZA,Rivadavia,La Libertad,582,--,--,--,--,--,SI,--,--,--,50084080.0,-33.2163869013321,-68.5166268853637
MENDOZA,Rivadavia,Los Árboles,362,--,--,--,--,--,SI,--,--,--,50084090.0,-33.1813162523339,-68.5759160345244
MENDOZA,Rivadavia,Los Campamentos,1062,--,--,--,--,--,SI,SI,--,SI,50084100.0,-33.2763607628549,-68.4008493516637
MENDOZA,Rivadavia,Medrano,1598,--,--,SI,--,--,SI,SI,SI,SI,50084110.0,-33.1787463382932,-68.6219271508795
MENDOZA,Rivadavia,Mundo Nuevo,295,--,--,--,--,--,SI,--,SI,SI,50084120.0,-33.1753415989261,-68.4371725862256
MENDOZA,Rivadavia,Reducción de Abajo,490,--,--,--,--,--,SI,SI,--,--,50084130.0,-33.2063088772501,-68.5835152115814
MENDOZA,Rivadavia,Rivadavia,31038,SI,--,SI,SI,SI,SI,SI,SI,SI,50084140.0,-33.19403215031,-68.4736188877526
MENDOZA,Rivadavia,Santa María de Oro,609,--,--,--,--,--,SI,--,--,--,50084150.0,-33.2059806305116,-68.4335589109359
