Provincia,Partido,Localidad,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,4G,3G,TELEFONIAFIJA,WIRELESS,SATELITAL
MENDOZA,General Alvear,Bowen,--,SI,SI,--,SI,SI,SI,SI,SI
MENDOZA,General Alvear,Carmensa,--,--,--,--,SI,--,SI,SI,--
MENDOZA,General Alvear,General Alvear,SI,SI,SI,SI,SI,SI,SI,SI,--
MENDOZA,General Alvear,Los Compartos,--,--,--,--,SI,SI,--,--,--
MENDOZA,Godoy Cruz,Gobernador Benegas,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Godoy Cruz,Godoy Cruz,SI,SI,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Godoy Cruz,LAS TORTUGAS,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Godoy Cruz,Presidente Sarmiento,--,--,--,--,--,--,--,--,--
MENDOZA,Godoy Cruz,SAN FRANCISCO DEL MONTE,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Godoy Cruz,Villa Hipodromo,--,--,--,SI,SI,SI,--,--,--
MENDOZA,Godoy Cruz,Villa Marini,--,--,--,--,SI,SI,--,--,--
MENDOZA,Malargüe,Malargüe,--,SI,--,SI,SI,SI,SI,SI,SI
MENDOZA,Rivadavia,Andrade,--,--,--,--,--,--,--,SI,--
MENDOZA,Rivadavia,Barrio Cooperativa Los Campamentos,--,--,--,--,SI,--,--,SI,--
MENDOZA,Rivadavia,Barrio Rivadavia,--,--,--,--,--,--,--,SI,--
MENDOZA,Rivadavia,Cuadro Ortega,--,--,--,--,--,SI,--,--,--
MENDOZA,Rivadavia,El Mirador,--,--,--,SI,--,--,--,SI,--
MENDOZA,Rivadavia,La Central,--,--,--,--,SI,SI,--,SI,--
MENDOZA,Rivadavia,La Esperanza,--,--,--,--,--,--,--,SI,--
MENDOZA,Rivadavia,La Florida,--,--,--,--,--,--,--,SI,--
MENDOZA,Rivadavia,La Libertad,--,--,--,--,--,--,--,SI,--
MENDOZA,Rivadavia,Los Árboles,--,--,--,--,--,--,--,SI,--
MENDOZA,Rivadavia,Los Campamentos,--,--,--,--,SI,--,SI,SI,--
MENDOZA,Rivadavia,Medrano,--,--,SI,--,SI,SI,SI,SI,--
MENDOZA,Rivadavia,Mundo Nuevo,--,--,--,--,SI,SI,--,SI,--
MENDOZA,Rivadavia,Reducción de Abajo,--,--,--,--,--,--,SI,SI,--
MENDOZA,Rivadavia,Rivadavia,SI,--,SI,SI,SI,SI,SI,SI,SI
MENDOZA,Rivadavia,Santa María de Oro,--,--,--,--,--,--,--,SI,--
NEUQUEN,Lácar,San Martín de los Andes,SI,SI,--,SI,SI,SI,SI,SI,SI
NEUQUEN,Lácar,Villa Lago Meliquina,SI,--,--,SI,SI,--,SI,SI,--
NEUQUEN,Loncopué,Chorriaca,--,--,--,--,--,--,--,SI,SI
NEUQUEN,Loncopué,Loncopué,--,SI,SI,--,SI,--,SI,SI,SI
NEUQUEN,Los Lagos,Villa La Angostura,SI,--,SI,SI,SI,SI,SI,SI,SI
NEUQUEN,Los Lagos,Villa Traful,--,--,--,--,--,--,SI,--,SI
NEUQUEN,Minas,Andacollo,SI,--,SI,SI,--,--,SI,SI,SI
NEUQUEN,Minas,Huinganco,--,--,SI,--,--,--,SI,SI,SI
NEUQUEN,Minas,Las Ovejas,--,--,--,--,--,--,SI,SI,--
NEUQUEN,Minas,Los Miches,--,--,--,--,--,--,--,--,--
NEUQUEN,Minas,Manzano Amargo,--,--,--,--,--,--,--,SI,--
NEUQUEN,Minas,Varvarco,--,--,--,--,SI,--,--,SI,--
NEUQUEN,Minas,Villa del Nahueve,--,--,--,--,--,--,--,SI,--
SAN JUAN,Rawson,Rawson,SI,--,SI,--,SI,SI,SI,SI,SI
SAN JUAN,Rawson,Villa Bolaños,--,--,--,--,--,--,--,SI,--
SAN JUAN,Rawson,Villa Krause,--,--,--,--,SI,SI,--,SI,--
