Provincia,Partido,Localidad,Proyecto,Minerales,Latitud,Longitud,Localidad más cercana,Latitud Localidad,Longitud Localidad,Distancia al proyecto,Tecnología presente,ADSL,CABLEMODEM,DIALUP,FIBRAOPTICA,SATELITAL,WIRELESS,TELEFONIAFIJA,3G,4G
San Juan,Calingasta,Bella Vista,Casposo,"Oro, Plata",-31.21065,-69.625,Calingasta,-31.335410441528,-69.4273817834109,23.35622179051085,"['SATELITAL', 'WIRELESS', 'TELEFONIAFIJA', '3G']",NO,NO,NO,NO,SI,SI,SI,SI,NO
San Juan,Iglesia,Tudcum,Veladero,"Oro, Plata",-29.4092,-69.895,Angualasto,-30.0536455973497,-69.1717079231376,99.99698070238831,"['WIRELESS', '4G']",NO,NO,NO,NO,NO,SI,NO,NO,SI
San Juan,Calingasta,Barreal,Pachón,"Cobre, Molibdeno",-31.7544,-70.4308,Barreal - Villa Pituil,-31.6528323304108,-69.4815385910816,90.68772002574315,"['DIALUP', 'WIRELESS', 'TELEFONIAFIJA', '3G']",NO,NO,SI,NO,NO,SI,SI,SI,NO
San Juan,Iglesia,Angualasto,Filo del Sol,"Cobre, Oro, Plata",-28.489086,-69.66007501,Angualasto,-30.0536455973497,-69.1717079231376,179.79287329616815,"['WIRELESS', '4G']",NO,NO,NO,NO,NO,SI,NO,NO,SI
San Juan,Iglesia,Rodeo, José María,"Cobre, Oro, Plata",-28.52361,-69.53638,Angualasto,-30.0536455973497,-69.1717079231376,173.25185745472677,"['WIRELESS', '4G']",NO,NO,NO,NO,NO,SI,NO,NO,SI
Mendoza,Las Heras,Uspallata,San Jorge,"Oro, Cobre",-32.244166,-69.438611,Uspallata,-32.595534534037,-69.3582053741335,39.691911557384074,"['ADSL', 'DIALUP', 'FIBRAOPTICA', 'TELEFONIAFIJA', '3G', '4G']",SI,NO,SI,SI,NO,NO,SI,SI,SI
Mendoza,Malargüe,Malargüe,Hierro Indio,Hierro,-35.0,-69.783333,El Sosneado,-35.0821772227253,-69.5924127887533,19.66149850877853,[],NO,NO,NO,NO,NO,NO,NO,NO,NO
Mendoza,Malargüe,Malargüe,Cerro Amarillo,Cobre,-35.325,-70.233055,Las Leñas,-35.1539650781638,-70.0817910991633,23.444244562784156,"['FIBRAOPTICA', 'TELEFONIAFIJA', '3G', '4G']",NO,NO,NO,SI,NO,NO,SI,SI,SI
Mendoza,Malargüe,Agua Escondida,Don Sixto,Oro,-36.26,-69.36999,Bardas Blancas,-35.870882529299,-69.8066780720987,58.41146947419255,"['TELEFONIAFIJA', '4G']",NO,NO,NO,NO,NO,NO,SI,NO,SI
Neuquen,Minas,Andacollo,Andacollo,Oro Plata,-37.184167,-70.639167,Andacollo,-37.1814100578481,-70.6690765415839,2.6734779562025346,"['ADSL', 'DIALUP', 'FIBRAOPTICA', 'SATELITAL', 'WIRELESS', 'TELEFONIAFIJA']",SI,NO,SI,SI,SI,SI,SI,NO,NO
Catamarca,Andalgala,Andalgala,Agua Rica,"Cobre, Oro, Plata, Molibdeno",-27.373333,-66.312778,El Potrero,-27.5162322380357,-66.3434280762552,16.122055714466345,['FIBRAOPTICA'],NO,NO,NO,SI,NO,NO,NO,NO,NO
Catamarca,Antofagasta de la Sierra,Salar del Hombre Muerto,Fénix,Litio,-25.35,-67.07,Los Nacimientos,-25.7592665755338,-67.3912671398198,55.65907274953203,[],NO,NO,NO,NO,NO,NO,NO,NO,NO
Catamarca,Antofagasta de la Sierra,Salar del Hombre Muerto,Sal de Vida,Litio,-25.33,-66.88,Los Nacimientos,-25.7592665755338,-67.3912671398198,70.01136162955285,[],NO,NO,NO,NO,NO,NO,NO,NO,NO
